symbol,date,expiry,option_type,strike_price,open,high,low,close,ltp,settle_price,no_of_contracts,turnover_in_lakhs,premium_turnover_in_lakhs,open_int,change_in_oi,underlying_value,time_to_expiration
NIFTY,2025-05-12,2025-05-15,CE,25900.0,3.4,11.15,1.55,7.25,6.5,7.25,481414.0,9353492.19,2025.24,3742950.0,1698450.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,25100.0,9.15,148.0,8.65,125.95,131.05,125.95,1408749.0,26591609.14,71909.21,2759700.0,-484275.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,25200.0,4.1,107.4,4.1,89.7,92.95,89.7,1893514.0,35856683.92,69269.32,3758925.0,456825.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,23900.0,576.1,1099.95,517.55,1072.2,1078.4,1072.2,12766.0,236261.74,7431.19,578700.0,-197550.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,25400.0,4.15,57.1,3.6,42.95,43.0,42.95,982850.0,18741779.67,18487.17,2956425.0,1026000.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,25500.0,3.5,41.0,2.85,29.75,29.0,29.75,1984256.0,37975737.22,26841.22,7607025.0,2584650.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,24200.0,320.0,815.0,287.0,784.5,787.7,784.5,74115.0,1370763.66,25576.41,1123650.0,-1160550.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,24700.0,60.0,385.95,51.25,363.75,368.45,363.75,2047860.0,38217524.91,280918.41,2373075.0,-117075.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,24750.0,43.0,347.0,41.9,326.8,334.95,326.8,1176182.0,21979944.37,147066.0,630375.0,-563850.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,23550.0,874.4,1437.7,874.4,1416.9,1417.0,1416.9,243.0,4498.26,206.27,19575.0,-1500.0,24924.7,0.008213552361396304
